scenario_id,planner_id,seed,fog_condition,success,path_length,executed_steps,replans,computation_time_ms
osm_piraeus_flood_rescue_medium,aggressive_replan,4,fog_on,True,586,1773,180,172421.72
osm_piraeus_flood_rescue_medium,dstar_lite,9,fog_on,True,245,282,1,23570.86
osm_piraeus_flood_rescue_medium,dstar_lite,8,fog_on,True,238,335,8,28608.16
osm_piraeus_flood_rescue_medium,dstar_lite,6,fog_on,True,596,816,8,74319.39
osm_piraeus_flood_rescue_medium,apf,3,fog_on,True,144,183,2,14995.38
osm_piraeus_flood_rescue_medium,apf,0,fog_on,True,185,649,5,50782.08
osm_piraeus_flood_rescue_medium,apf,5,fog_on,True,1445,367,2,31452.04
osm_piraeus_flood_rescue_medium,dstar_lite,7,fog_on,True,590,1487,5,126305.09
osm_piraeus_flood_rescue_medium,apf,8,fog_on,True,240,240,0,16677.44
osm_piraeus_flood_rescue_medium,apf,9,fog_on,True,245,245,0,13801.05
osm_piraeus_flood_rescue_medium,apf,4,fog_on,True,720,1295,25,114105.93
osm_downtown_fire_surveillance_medium,astar,1,fog_off,False,0,1,0,66.95
osm_piraeus_flood_rescue_medium,apf,1,fog_on,True,832,1734,131,157504.97
osm_piraeus_flood_rescue_medium,apf,7,fog_on,True,1078,1274,4,116269.36
osm_piraeus_flood_rescue_medium,apf,2,fog_on,False,1139,2001,3,192880.37
osm_piraeus_flood_rescue_medium,apf,6,fog_on,True,596,1938,49,172734.39
osm_downtown_fire_surveillance_medium,astar,0,fog_off,False,243,2001,0,193984.52
osm_downtown_fire_surveillance_medium,astar,2,fog_off,False,593,2001,0,190072.37
osm_downtown_fire_surveillance_medium,astar,3,fog_off,False,275,2001,0,196729.0
osm_downtown_fire_surveillance_medium,astar,4,fog_off,False,478,2001,0,185044.66
osm_downtown_fire_surveillance_medium,astar,5,fog_off,False,619,2001,0,187872.37
osm_downtown_fire_surveillance_medium,periodic_replan,1,fog_off,False,0,1,0,48.76
osm_downtown_fire_surveillance_medium,astar,6,fog_off,False,578,2001,0,187079.6
osm_downtown_fire_surveillance_medium,periodic_replan,3,fog_off,True,303,303,38,27359.29
osm_downtown_fire_surveillance_medium,periodic_replan,0,fog_off,True,257,905,33,84696.65
osm_downtown_fire_surveillance_medium,astar,7,fog_off,False,686,2001,0,187248.83
osm_downtown_fire_surveillance_medium,astar,8,fog_off,False,278,2001,0,187061.85
osm_downtown_fire_surveillance_medium,periodic_replan,4,fog_off,True,504,925,61,94338.19
osm_downtown_fire_surveillance_medium,periodic_replan,2,fog_off,True,597,1241,68,133407.64
osm_downtown_fire_surveillance_medium,astar,9,fog_off,False,104,2001,0,180055.12
osm_downtown_fire_surveillance_medium,periodic_replan,9,fog_off,True,124,124,14,12984.45
osm_downtown_fire_surveillance_medium,aggressive_replan,1,fog_off,False,0,1,0,59.7
osm_downtown_fire_surveillance_medium,periodic_replan,5,fog_off,True,653,800,76,96347.38
osm_downtown_fire_surveillance_medium,aggressive_replan,0,fog_off,True,245,350,79,39896.91
osm_downtown_fire_surveillance_medium,periodic_replan,8,fog_off,True,284,1141,40,134231.69
osm_downtown_fire_surveillance_medium,aggressive_replan,4,fog_off,True,490,839,93,96189.33
osm_downtown_fire_surveillance_medium,aggressive_replan,2,fog_off,True,593,1218,128,143875.57
osm_downtown_fire_surveillance_medium,periodic_replan,6,fog_off,True,582,1623,60,195121.64
osm_downtown_fire_surveillance_medium,aggressive_replan,3,fog_off,True,279,1283,54,146831.2
osm_downtown_fire_surveillance_medium,periodic_replan,7,fog_off,True,692,1784,66,219465.95
osm_downtown_fire_surveillance_medium,aggressive_replan,9,fog_off,True,124,757,55,69376.08
osm_downtown_fire_surveillance_medium,dstar_lite,1,fog_off,False,0,1,0,57.16
osm_downtown_fire_surveillance_medium,dstar_lite,0,fog_off,True,257,257,1,24336.11
osm_downtown_fire_surveillance_medium,dstar_lite,3,fog_off,True,303,303,1,30371.9
osm_downtown_fire_surveillance_medium,aggressive_replan,8,fog_off,True,284,1142,76,119581.91
osm_downtown_fire_surveillance_medium,aggressive_replan,6,fog_off,True,578,1610,120,174143.63
osm_downtown_fire_surveillance_medium,dstar_lite,4,fog_off,True,504,839,2,81780.87
osm_downtown_fire_surveillance_medium,dstar_lite,5,fog_off,True,653,677,2,68762.84
osm_downtown_fire_surveillance_medium,aggressive_replan,7,fog_off,True,692,1781,129,205181.68
osm_downtown_fire_surveillance_medium,dstar_lite,2,fog_off,True,597,1286,2,135269.28
osm_downtown_fire_surveillance_medium,aggressive_replan,5,fog_off,False,629,2001,107,239701.36
osm_downtown_fire_surveillance_medium,apf,1,fog_off,False,0,1,0,87.18
osm_downtown_fire_surveillance_medium,dstar_lite,8,fog_off,True,284,284,0,24305.37
osm_downtown_fire_surveillance_medium,dstar_lite,9,fog_off,True,124,124,0,9948.3
osm_downtown_fire_surveillance_medium,apf,3,fog_off,True,359,381,13,37047.65
osm_downtown_fire_surveillance_medium,dstar_lite,7,fog_off,True,692,698,3,64908.11
osm_downtown_fire_surveillance_medium,dstar_lite,6,fog_off,True,582,901,1,102799.77
osm_downtown_fire_surveillance_medium,apf,0,fog_off,True,315,903,19,86681.49
osm_downtown_fire_surveillance_medium,apf,4,fog_off,True,478,1299,4,127015.98
osm_downtown_fire_surveillance_medium,apf,2,fog_off,True,593,1448,9,148262.52
osm_downtown_fire_surveillance_medium,apf,9,fog_off,True,176,230,4,21133.15
osm_downtown_fire_surveillance_medium,astar,1,fog_on,False,0,1,0,49.15
osm_downtown_fire_surveillance_medium,apf,6,fog_off,True,578,940,13,111937.68
osm_downtown_fire_surveillance_medium,apf,7,fog_off,True,686,1644,42,176008.77
osm_downtown_fire_surveillance_medium,apf,5,fog_off,False,619,2001,12,211910.6
osm_downtown_fire_surveillance_medium,apf,8,fog_off,True,1206,1640,76,167763.04
osm_downtown_fire_surveillance_medium,astar,0,fog_on,False,243,2001,0,153716.37
osm_downtown_fire_surveillance_medium,astar,3,fog_on,False,275,2001,0,152194.69
osm_downtown_fire_surveillance_medium,astar,2,fog_on,False,593,2001,0,166496.54
osm_downtown_fire_surveillance_medium,astar,4,fog_on,False,478,2001,0,144056.21
osm_downtown_fire_surveillance_medium,astar,5,fog_on,False,619,2001,0,146024.35
osm_downtown_fire_surveillance_medium,periodic_replan,1,fog_on,False,0,1,0,38.33
osm_downtown_fire_surveillance_medium,astar,6,fog_on,False,578,2001,0,148011.28
osm_downtown_fire_surveillance_medium,periodic_replan,0,fog_on,True,243,765,43,64369.28
osm_downtown_fire_surveillance_medium,astar,7,fog_on,False,686,2001,0,144071.11
osm_downtown_fire_surveillance_medium,astar,8,fog_on,False,278,2001,0,149736.01
osm_downtown_fire_surveillance_medium,astar,9,fog_on,False,104,2001,0,149500.83
osm_downtown_fire_surveillance_medium,periodic_replan,4,fog_on,True,478,838,46,68272.19
osm_downtown_fire_surveillance_medium,periodic_replan,3,fog_on,True,275,1310,32,108110.68
osm_downtown_fire_surveillance_medium,periodic_replan,2,fog_on,True,593,1277,74,116809.03
osm_downtown_fire_surveillance_medium,periodic_replan,9,fog_on,True,124,124,14,10378.56
osm_downtown_fire_surveillance_medium,aggressive_replan,1,fog_on,False,0,1,0,51.12
osm_downtown_fire_surveillance_medium,periodic_replan,8,fog_on,True,278,476,61,39688.04
osm_downtown_fire_surveillance_medium,aggressive_replan,0,fog_on,True,243,350,79,32039.36
osm_downtown_fire_surveillance_medium,periodic_replan,6,fog_on,True,578,1674,68,150078.26
osm_downtown_fire_surveillance_medium,aggressive_replan,4,fog_on,True,478,839,93,76834.87
osm_downtown_fire_surveillance_medium,periodic_replan,7,fog_on,True,686,1784,66,161877.4
osm_downtown_fire_surveillance_medium,periodic_replan,5,fog_on,False,619,2001,54,191400.05
